CostLimit	Epoch	TotalEnvInteracts	worker/VVals	worker/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/StopIter	learner/LossPi	learner/KL	learner/Entropy	learner/ClipFrac	learner/DeltaLossPi	learner/LossV	learner/DeltaLossV	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
5	421	1000	1692.8682	0.0	1241.942	79.0	-70.833336	1.0	-1.0967256e-06	0.27636677	-0.3697181	0.56	0.09232252	120037.51	-33300.656	844.2521	80.0	-228.0	650.5845234394073
5	422	2000	1608.6895	0.0	1450.1823	79.0	-33.0	1.0	5.9204103e-06	0.21470973	-0.37001815	0.578	0.06894	63394.836	-11516.402	1218.1604	80.0	-91.0	1321.0158431529999
5	423	3000	1620.3716	0.0	1265.7484	79.0	-72.833336	1.0	4.1526797e-05	0.08085329	-0.37022546	0.49	0.05282372	136330.4	-15152.461	1638.2528	80.0	-6.0	1970.8557043075562
5	424	4000	1530.8385	0.0	1141.1884	79.0	-77.0	1.0	2.3498537e-06	0.10775721	-0.37019005	0.469	0.04702691	128360.79	-23603.664	1284.2955	80.0	0.0	2581.9980635643005
5	425	5000	1502.4518	0.0	1119.3066	79.0	-80.0	1.0	3.902626e-05	0.027689386	-0.37010857	0.25	-0.0032832215	80258.516	-15106.0	1691.642	80.0	0.0	3244.919028043747
5	426	6000	1331.5745	0.0	1030.4086	79.0	-88.25	3.0	-6.370545e-07	0.024639515	-0.36999014	0.259	0.0022225075	116940.03	-34443.625	1512.6693	80.0	0.0	3913.85364484787
5	427	7000	1375.1731	0.0	1161.2921	79.0	-91.5	1.0	-1.8386842e-06	0.01885302	-0.3695322	0.16000001	-0.007200333	69011.82	-24049.207	1665.9501	80.0	0.0	4565.347960472107
5	428	8000	1401.4786	0.0	1127.6417	79.0	-79.75	3.0	-1.6731263e-05	0.022452084	-0.36940584	0.22200002	-0.00019221497	129974.95	-18684.07	1003.6609	80.0	-99.0	5227.413176774979
5	429	9000	1384.793	0.0	1271.1084	79.0	-86.333336	14.0	-4.096985e-06	0.01507967	-0.36893907	0.16600001	-0.014252564	60001.855	-16121.051	1605.5371	80.0	0.0	5910.153866291046
5	430	10000	1378.0153	0.0	1130.7052	79.0	-75.583336	79.0	-4.265976e-05	0.007087279	-0.37048164	0.142	-0.02921585	85115.92	-13555.102	1604.83	80.0	0.0	6565.439178466797
5	431	11000	1352.977	0.0	1365.5508	79.0	-24.583334	12.0	3.4103396e-06	0.01681588	-0.38317266	0.20300001	-0.014916303	86108.68	-42714.07	1275.1151	80.0	-238.0	7230.043167591095
5	432	12000	1520.0071	0.0	1325.381	79.0	-59.333332	1.0	-8.895874e-06	0.01924547	-0.38409	0.23900001	-0.0027468188	82110.44	-9042.32	1577.7091	80.0	0.0	7889.737039804459
5	433	13000	1488.6793	0.0	1163.6382	79.0	-77.333336	2.0	-4.2953492e-05	0.015137195	-0.38411096	0.22100002	0.0013665276	150890.39	-53500.5	713.6816	80.0	-195.0	8555.371481895447
5	434	14000	1360.2297	0.0	1310.3453	79.0	-44.333332	2.0	7.756424e-05	0.021185517	-0.3840062	0.16800001	-0.004616455	75066.36	-11992.316	866.618	80.0	-265.0	9204.435116052628
5	435	15000	1420.0635	0.0	1317.7533	79.0	-45.166668	2.0	-2.433777e-06	0.0159965	-0.38379514	0.187	-0.0016442871	92182.82	-18136.93	1796.8401	80.0	0.0	9825.403291940689
5	436	16000	1355.9388	0.0	1245.4603	79.0	-54.166668	6.0	8.272172e-06	0.024061382	-0.3836263	0.20300001	-0.009388619	122211.46	-20086.516	1442.9915	80.0	0.0	10465.952280521393
5	437	17000	1334.4926	0.0	1263.7247	79.0	-56.666668	76.0	-3.8909914e-07	0.01527467	-0.38371742	0.155	-0.030589582	76593.1	-6224.672	1097.6609	80.0	-144.0	11108.76085805893
5	438	18000	1298.9823	0.0	1213.6459	79.0	-63.833332	6.0	-4.363251e-05	0.015744574	-0.38697466	0.21100001	-0.012157387	126231.05	-62443.46	1701.1158	80.0	0.0	11748.542420387268
5	439	19000	1342.6492	0.0	998.9831	79.0	-114.833336	2.0	1.7700196e-06	0.019082338	-0.38642755	0.16600001	-0.001877039	125794.03	-47573.992	1771.0345	80.0	0.0	12392.135479211807
5	440	20000	1243.9027	0.0	928.4732	79.0	-103.5	2.0	-2.773285e-05	0.018771274	-0.38633174	0.18100001	-0.00024938968	133612.72	-33438.54	999.18475	80.0	-229.0	13036.87437915802
5	441	21000	1163.8547	0.0	1123.6888	79.0	-74.666664	4.0	-3.8665774e-05	0.019635793	-0.38631842	0.13800001	-0.007599087	120913.9	-32192.953	690.4369	80.0	-151.0	13687.194125890732
5	442	22000	1335.1049	0.0	1191.641	79.0	-83.833336	26.0	9.483338e-06	0.017859373	-0.3868264	0.135	-0.024017854	120371.9	-19512.172	1375.1731	80.0	-133.0	14329.90627002716
5	443	23000	1326.2505	0.0	1276.9653	79.0	-76.416664	6.0	1.1260987e-05	0.01655462	-0.39554498	0.16800001	-0.009789032	171252.83	-30838.578	1727.5804	80.0	0.0	14982.804641723633
5	444	24000	1259.0045	0.0	944.0147	79.0	-132.33333	6.0	-3.3485416e-05	0.016207924	-0.39643773	0.18900001	-0.008253403	260010.58	-63036.97	1759.9108	80.0	0.0	15635.40172457695
5	445	25000	1180.1982	0.0	997.18335	79.0	-117.333336	26.0	9.696961e-06	0.022823114	-0.39622626	0.224	-0.020586919	147492.55	-22523.008	722.3874	80.0	-203.0	16283.447600841522
5	446	26000	1175.4454	0.0	1307.7181	79.0	-60.916668	1.0	3.312302e-05	0.01770803	-0.39838144	0.24400002	0.0076097455	189130.66	-32127.625	1279.5985	80.0	-178.0	16938.848292827606
5	447	27000	1286.142	0.0	1359.3242	79.0	-43.833332	1.0	-4.1252137e-05	0.019901322	-0.3985152	0.28300002	0.008780652	159583.56	-24027.11	733.1949	80.0	-132.0	17575.876211166382
5	448	28000	1360.5123	0.0	1417.4596	79.0	-39.166668	1.0	2.57988e-05	0.04748358	-0.3986809	0.39200002	0.012269014	81497.78	-47616.0	235.01004	80.0	-223.0	18226.904677391052
5	449	29000	1370.8309	0.0	1170.6667	79.0	-110.083336	2.0	-2.6576998e-05	0.020738259	-0.3988677	0.19800001	-0.0024812357	120306.96	-22113.664	1276.4894	80.0	-184.0	18875.672228097916
5	450	30000	1349.3275	0.0	1193.2108	79.0	-80.833336	3.0	-3.1356813e-06	0.024036825	-0.39913967	0.263	0.0064881137	98650.07	-15396.742	1724.1458	80.0	0.0	19527.20441865921
5	451	31000	1281.145	0.0	1108.328	79.0	-115.833336	10.0	5.035782e-05	0.015608872	-0.39939278	0.120000005	-0.010029305	123726.65	-22793.734	1744.7864	80.0	0.0	20183.065626859665
5	452	32000	1345.324	0.0	1258.3632	79.0	-82.166664	1.0	9.918213e-06	0.0271096	-0.4009562	0.35300002	0.0012391892	115719.96	-25642.266	1656.0463	80.0	0.0	20849.745106697083
5	453	33000	1420.3558	0.0	1193.3408	79.0	-86.916664	1.0	-7.7266695e-06	0.04354423	-0.40114275	0.4	0.019251093	119797.51	-15840.266	1833.7725	80.0	0.0	21509.675648212433
5	454	34000	1350.484	0.0	957.9346	79.0	-134.91667	1.0	-1.97649e-05	0.03385296	-0.4013609	0.26000002	0.02004249	198521.67	-67548.21	162.72551	80.0	-255.0	22137.58975958824
