CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossPi	learner/LogPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	265	1600	0.5407174	0.022907795	177.69868	-101.42857	15286.235	1409.5255	1409.6311	-1441.4979	29.614737	6.5138764	80.0	0.0	1021.4282190799713
20	266	3200	0.08685391	0.34418803	203.42032	-52.7	9265.164	1568.0007	1568.0302	-1583.4615	23.51971	-24.476183	80.0	0.0	2041.2893209457397
20	267	4800	0.16462298	0.43945923	225.54468	-12.4	8181.495	1617.0483	1617.0724	-1628.7188	19.58911	13.968244	80.0	0.0	3083.138185977936
20	268	6400	0.06272715	0.44079354	124.0979	-15.05	6794.6055	1613.8593	1613.8641	-1625.0175	16.904106	136.52208	80.0	-206.0	4168.939505338669
20	269	8000	0.3852802	0.003412075	907.49805	-55.95	7336.5986	1631.5298	1631.534	-1644.1512	16.154322	1074.3073	80.0	0.0	5241.8497478961945
20	270	9600	0.35160363	-0.062428962	1097.4868	-20.15	5308.3823	1643.1138	1643.1403	-1652.1672	15.9659815	-97.95921	80.0	0.0	6295.277436494827
20	271	11200	0.3366611	-0.06545592	844.98224	-37.8	4133.5073	1621.8348	1621.8464	-1628.6573	15.984325	1134.1132	80.0	0.0	7316.98700428009
20	272	12800	0.48695716	-0.112369604	915.98035	-53.7	3689.4668	1591.1866	1591.2202	-1596.6802	15.656511	1145.4874	80.0	0.0	8356.014420032501
20	273	14400	0.41402513	-0.09767586	1055.4827	-18.2	2999.0872	1559.8909	1559.9026	-1563.8058	15.007306	1333.4918	80.0	0.0	9352.088116645813
20	274	16000	0.45192143	-0.009254103	1092.3513	-31.55	2707.3594	1534.7427	1534.7543	-1539.3833	15.776614	1351.6876	80.0	0.0	10359.130577802658
20	275	17600	0.4214859	-0.12898886	1183.5767	-46.6	3105.583	1515.2799	1515.2773	-1520.7119	16.006958	1153.5332	80.0	-74.0	11378.472404003143
