CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	175	1600	0.037519444	0.436625	330.60327	-31.821428	4947.619	898.12115	898.2592	-944.35333	26.980597	80.0	0.0	1014.7948508262634
20	176	3200	-0.64610183	0.08785278	189.99283	0.0	2123.0957	1010.5229	1010.506	-1043.3391	30.627438	80.0	0.0	1932.3671140670776
20	177	4800	-0.20372716	0.11371708	180.5168	-11.2	1605.4832	1010.5611	1010.5665	-1027.7819	29.702707	80.0	0.0	2832.5802137851715
20	178	6400	0.20473857	0.036592394	576.82605	-4.0	1786.8997	1058.0929	1058.0826	-1092.0056	537.14703	80.0	0.0	3741.8045630455017
20	179	8000	0.6324112	-0.08571693	94.85732	-135.15	5974.596	1026.8138	1026.8546	-1060.8007	1207.625	80.0	-143.0	4614.052543401718
20	180	9600	0.30179688	0.0065056896	956.9536	-54.3	4313.08	1039.5433	1039.5616	-1063.9647	1466.0682	80.0	0.0	5485.0576186180115
20	181	11200	0.30913246	-0.094003946	1024.5901	-85.9	3556.3423	1024.3081	1024.3163	-1042.9489	1794.6171	80.0	0.0	6519.702934265137
20	182	12800	0.27607355	-0.02120163	1233.7485	-70.9	3492.8894	1013.5394	1013.5253	-1031.6001	1347.0745	80.0	-53.0	7580.326149225235
20	183	14400	0.22273117	-0.096187375	1239.1587	-50.1	3142.1045	1003.8783	1003.8585	-1022.78046	720.2788	80.0	-154.0	8621.492608070374
20	184	16000	0.3955035	-0.010735183	1371.1375	-114.3	3077.2769	1004.7484	1004.7028	-1023.4419	985.25745	80.0	-269.0	9701.840636014938
20	185	17600	0.444572	0.06671944	1335.759	-119.15	3179.7905	1006.9637	1006.9518	-1025.043	2076.8357	80.0	0.0	10761.115674734116
20	186	19200	0.31035268	-0.08616325	1017.6893	-152.85	3465.8586	1002.6768	1002.6617	-1019.57336	676.62555	80.0	-182.0	11829.877791404724
20	187	20800	0.37856102	-0.114547014	987.901	-161.3	3848.6018	1003.1594	1003.1641	-1020.8298	1187.5736	80.0	-81.0	12874.092940330505
20	188	22400	0.36561888	0.037554555	1249.0631	-136.8	4268.558	1010.0333	1010.0295	-1026.0387	905.1816	80.0	-158.0	13914.624832630157
20	189	24000	0.61312085	-0.018792247	1452.1439	-102.05	4714.2188	1014.3547	1014.3498	-1028.4907	1432.3369	80.0	-219.0	14970.110795736313
20	190	25600	0.44129792	-0.12217255	1330.2382	-80.9	5537.2437	1013.9139	1013.8948	-1026.8673	1759.8177	80.0	-230.0	16035.499803304672
20	191	27200	0.6040792	0.011329114	1127.3822	-150.75	5677.81	1019.9203	1019.9177	-1030.5259	1682.0321	80.0	-141.0	17104.19291615486
20	192	28800	0.44433802	-0.029690001	1211.2411	-104.35	6403.509	1021.0973	1021.0889	-1029.5881	1732.2722	80.0	-198.0	18160.40110898018
20	193	30400	0.49399292	0.009862209	1301.4674	-125.8	7044.194	1023.9696	1023.9536	-1034.5195	302.1511	80.0	-211.0	19227.6605591774
20	194	32000	0.4949234	0.011113218	1309.523	-122.75	7563.11	1023.4279	1023.4262	-1034.7238	2257.5632	80.0	0.0	20264.10737657547
20	195	33600	0.4300045	-0.03041152	1308.9988	-128.85	7900.725	1018.5343	1018.5552	-1026.9784	2043.3207	80.0	0.0	21327.534082889557
20	196	35200	0.36056638	0.03544457	1146.9484	-121.55	8639.818	1015.1512	1015.1439	-1025.9583	1753.9113	80.0	0.0	22371.05926990509
20	197	36800	0.3921029	-0.059501573	1349.5789	-95.55	8610.897	1007.1816	1007.1894	-1017.77625	1392.4515	80.0	-235.0	23412.3264400959
20	198	38400	0.40263993	0.06820661	1367.7822	-103.0	9198.484	1009.6994	1009.6867	-1020.0082	1629.916	80.0	-168.0	24452.88737297058
20	199	40000	0.40769058	0.045825157	1408.1222	-90.85	8909.599	1019.3975	1019.3621	-1028.7007	1098.8359	80.0	-235.0	25503.964370012283
20	200	41600	0.41797757	0.07987304	1448.4988	-89.7	8665.869	1028.1606	1028.1522	-1038.5693	1782.6991	80.0	0.0	26561.037652492523
20	201	43200	0.28185427	0.072879665	1282.1602	-76.1	8689.477	1025.325	1025.3059	-1036.0111	1923.2168	80.0	0.0	27605.310807704926
20	202	44800	0.44208413	-0.071465105	1382.2281	-80.45	8382.902	1033.6744	1033.6827	-1045.3505	1474.1036	80.0	0.0	28645.71647286415
